Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,8,0.2,100,3.1814747077,100.1
ssDMEWMC,8,0.2,200,3.471904991,154.1
ssDMEWMC,8,0.2,500,3.6047611846,443.8
ssDMEWMC,8,0.2,1000,3.6888681299,1000.8
ssDMEWMC,8,0.2,2000,3.8426857449,2007.8
ssDMEWMC,8,0.30000000000000004,100,5.4809175659000005,101.2
ssDMEWMC,8,0.30000000000000004,200,5.8423124883,226.4
ssDMEWMC,8,0.30000000000000004,500,6.230665929,479.3
ssDMEWMC,8,0.30000000000000004,1000,6.5722271088,966.7
ssDMEWMC,8,0.30000000000000004,2000,6.6990364733,2046.3
ssDMEWMC,8,0.4,100,8.6674770427,100.9
ssDMEWMC,8,0.4,200,8.8990753615,223.7
ssDMEWMC,8,0.4,500,9.5375867502,485.2
ssDMEWMC,8,0.4,1000,9.8044166952,997.6
ssDMEWMC,8,0.4,2000,10.2807674636,2053.7
ssDMEWMC,8,0.5,100,13.196731142400001,103.3
ssDMEWMC,8,0.5,200,13.3681415549,231.1
ssDMEWMC,8,0.5,500,13.8062908848,410.5
ssDMEWMC,8,0.5,1000,14.2633762977,999.7
ssDMEWMC,8,0.5,2000,14.910749118,1790.1
ssDMEWMC,8,0.6000000000000001,100,18.9349713934,95.3
ssDMEWMC,8,0.6000000000000001,200,19.4453357513,237.3
ssDMEWMC,8,0.6000000000000001,500,19.7896210047,266.0
ssDMEWMC,8,0.6000000000000001,1000,20.3596202998,761.3
ssDMEWMC,8,0.6000000000000001,2000,21.9092643727,2091.8
ssDMEWMC,8,0.7000000000000001,100,26.5215021115,87.2
ssDMEWMC,8,0.7000000000000001,200,27.1313368609,204.8
ssDMEWMC,8,0.7000000000000001,500,28.2194963916,309.2
ssDMEWMC,8,0.7000000000000001,1000,28.749038607,1080.9
ssDMEWMC,8,0.7000000000000001,2000,30.0176834779,1936.7
ssDMEWMC,8,0.8,100,37.8127222651,99.4
ssDMEWMC,8,0.8,200,38.4599743364,195.4
ssDMEWMC,8,0.8,500,39.941170382,575.6
ssDMEWMC,8,0.8,1000,41.533316608,1126.5
ssDMEWMC,8,0.8,2000,42.3809783776,1863.2
ssDMEWMC,8,0.9,100,56.9089930748,100.7
ssDMEWMC,8,0.9,200,59.1423178386,191.9
ssDMEWMC,8,0.9,500,60.2316575968,568.2
ssDMEWMC,8,0.9,1000,61.4355258055,938.7
ssDMEWMC,8,0.9,2000,64.1682868703,2126.2
ssDMEWMC,8,0.9500000000000001,100,76.6293292966,72.1
ssDMEWMC,8,0.9500000000000001,200,79.0733766112,222.1
ssDMEWMC,8,0.9500000000000001,500,80.7033427652,486.0
ssDMEWMC,8,0.9500000000000001,1000,81.5527342454,1108.4
ssDMEWMC,8,0.9500000000000001,2000,84.3164384886,2126.2
ssDMEWMC,9,0.05,100,0.5902535538,107.5
ssDMEWMC,9,0.05,200,0.7316533974,188.6
ssDMEWMC,9,0.05,500,0.8011267282000001,452.4
ssDMEWMC,9,0.05,1000,0.8489117915000001,915.6
ssDMEWMC,9,0.05,2000,0.9291470924,2002.8
ssDMEWMC,9,0.1,100,1.4303239430999999,92.2
ssDMEWMC,9,0.1,200,1.6419743639000002,197.3
ssDMEWMC,9,0.1,500,1.7872833806,488.8
ssDMEWMC,9,0.1,1000,1.9458902990000002,1250.9
ssDMEWMC,9,0.1,2000,1.9849296094,1597.1
ssDMEWMC,9,0.2,100,3.661468805,97.6
ssDMEWMC,9,0.2,200,3.8073252262,201.3
ssDMEWMC,9,0.2,500,4.2879607423,522.6
ssDMEWMC,9,0.2,1000,4.414055589,817.7
ssDMEWMC,9,0.2,2000,4.6681797503,1876.7
ssDMEWMC,9,0.30000000000000004,100,6.4319477218,99.5
ssDMEWMC,9,0.30000000000000004,200,6.8142345233,196.0
ssDMEWMC,9,0.30000000000000004,500,7.308697987,466.3
ssDMEWMC,9,0.30000000000000004,1000,7.6557040578999995,845.7
ssDMEWMC,9,0.30000000000000004,2000,7.917126889,2053.9
ssDMEWMC,9,0.4,100,10.0973939969,101.7
ssDMEWMC,9,0.4,200,10.4324682329,201.0
ssDMEWMC,9,0.4,500,11.503559465,387.5
ssDMEWMC,9,0.4,1000,11.8855365125,1119.3
ssDMEWMC,9,0.4,2000,12.6540919143,1974.1
ssDMEWMC,9,0.5,100,15.1659969764,102.0
ssDMEWMC,9,0.5,200,15.9025636485,183.0
ssDMEWMC,9,0.5,500,16.9387441815,497.2
ssDMEWMC,9,0.5,1000,17.7394603578,1024.8
ssDMEWMC,9,0.5,2000,18.1514213553,1886.8
ssDMEWMC,9,0.6000000000000001,100,22.011727969,114.6
ssDMEWMC,9,0.6000000000000001,200,22.9448134687,174.2
ssDMEWMC,9,0.6000000000000001,500,24.1863534746,496.6
ssDMEWMC,9,0.6000000000000001,1000,24.9037678441,867.1
ssDMEWMC,9,0.6000000000000001,2000,26.0001575948,1998.5
ssDMEWMC,9,0.7000000000000001,100,31.1636702434,77.0
ssDMEWMC,9,0.7000000000000001,200,32.5721518027,191.7
ssDMEWMC,9,0.7000000000000001,500,33.8466494551,502.9
ssDMEWMC,9,0.7000000000000001,1000,35.5065012713,983.5
ssDMEWMC,9,0.7000000000000001,2000,36.6429160395,1663.1
ssDMEWMC,9,0.8,100,45.7946421362,116.7
ssDMEWMC,9,0.8,200,46.9833530521,218.4
ssDMEWMC,9,0.8,500,48.4746789725,534.6
ssDMEWMC,9,0.8,1000,50.6712387682,968.8
ssDMEWMC,9,0.8,2000,52.3239155806,2003.2
ssDMEWMC,9,0.9,100,70.7796289734,97.8
ssDMEWMC,9,0.9,200,72.0726043241,212.4
ssDMEWMC,9,0.9,500,74.7917712423,544.0
ssDMEWMC,9,0.9,1000,77.1961208981,1028.3
ssDMEWMC,9,0.9,2000,79.4699765326,1841.0
ssDMEWMC,9,0.9500000000000001,100,96.3360508904,97.8
ssDMEWMC,9,0.9500000000000001,200,97.4949621752,207.1
ssDMEWMC,9,0.9500000000000001,500,100.82153428,567.9
ssDMEWMC,9,0.9500000000000001,1000,103.3555781385,1038.4
ssDMEWMC,9,0.9500000000000001,2000,106.0560053372,1952.9
