,Method,Dimension,Lambda,ARL,h,
454,MEWMA,10,0.2,2000,30.87,
455,MEWMA,10,0.3,100,22.46792356,
456,MEWMA,10,0.3,200,24.62,1.022850021
457,MEWMA,10,0.3,500,27.53921396,
458,MEWMA,10,0.3,1000,29.57570835,
459,MEWMA,10,0.3,2000,31.57538014,
460,MEWMA,10,0.4,100,22.71432239,
461,MEWMA,10,0.4,200,24.89,1.010966694
462,MEWMA,10,0.4,500,27.84122808,
463,MEWMA,10,0.4,1000,29.90005609,
464,MEWMA,10,0.4,2000,31.92165767,
465,MEWMA,10,0.5,100,22.84208475,
466,MEWMA,10,0.5,200,25.03,1.005624749
467,MEWMA,10,0.5,500,27.997828,
468,MEWMA,10,0.5,1000,30.06823639,
469,MEWMA,10,0.5,2000,32.10120897,
470,MEWMA,10,0.6,100,22.91509182,
471,MEWMA,10,0.6,200,25.11,1.003196165
472,MEWMA,10,0.6,500,28.08731367,
473,MEWMA,10,0.6,1000,30.16433943,
474,MEWMA,10,0.6,2000,32.20380972,
475,MEWMA,10,0.7,100,22.94246946,
476,MEWMA,10,0.7,200,25.14,1.001194743
477,MEWMA,10,0.7,500,28.12087079,
478,MEWMA,10,0.7,1000,30.20037806,
479,MEWMA,10,0.7,2000,32.242285,
480,MEWMA,10,0.8,100,22.96984711,
481,MEWMA,10,0.8,200,25.17,1.001193317
482,MEWMA,10,0.8,500,28.15442792,
483,MEWMA,10,0.8,1000,30.2364167,
484,MEWMA,10,0.8,2000,32.28076028,
485,MEWMA,10,0.9,100,22.98809888,
486,MEWMA,10,0.9,200,25.19,1.000794597
487,MEWMA,10,0.9,500,28.17679934,
488,MEWMA,10,0.9,1000,30.26044246,
489,MEWMA,10,0.9,2000,32.30641047,
490,MEWMA,10,0.95,100,22.99722476,
491,MEWMA,10,0.95,200,25.2,1.000396983
492,MEWMA,10,0.95,500,28.18798504,
493,MEWMA,10,0.95,1000,30.27245534,
494,MEWMA,10,0.95,2000,32.31923556,
495,MEWMA,15,0.05,100,25.844,1.357923497
496,MEWMA,15,0.05,200,27.82,1.342664093
497,MEWMA,15,0.05,500,31.887,1.308828962
498,MEWMA,15,0.05,1000,34.351,1.293092415
499,MEWMA,15,0.05,2000,36.72,1.279620853
500,MEWMA,15,0.1,100,27.653,1.34101159
501,MEWMA,15,0.1,200,30.03,1.324658139
502,MEWMA,15,0.1,500,33.518,1.297588169
503,MEWMA,15,0.1,1000,35.86,1.283234926
504,MEWMA,15,0.1,2000,38.109,1.2714443
505,MEWMA,15,0.2,100,29.161,1.327551671
506,MEWMA,15,0.2,200,31.59,1.312422102
507,MEWMA,15,0.2,500,34.693,1.288552964
508,MEWMA,15,0.2,1000,36.911,1.276534671
509,MEWMA,15,0.2,2000,39.047,1.264885002
510,MEWMA,15,0.3,100,29.20830062,
511,MEWMA,15,0.3,200,32.19,
512,MEWMA,15,0.3,500,35.80097815,
513,MEWMA,15,0.3,1000,38.44842086,
514,MEWMA,15,0.3,2000,41.04799418,
515,MEWMA,15,0.4,100,29.52861911,
516,MEWMA,15,0.4,200,32.48,
517,MEWMA,15,0.4,500,36.19359651,
518,MEWMA,15,0.4,1000,38.87007291,
519,MEWMA,15,0.4,2000,41.49815496,
520,MEWMA,15,0.5,100,29.69471018,
521,MEWMA,15,0.5,200,32.63,
522,MEWMA,15,0.5,500,36.3971764,
523,MEWMA,15,0.5,1000,39.08870731,
524,MEWMA,15,0.5,2000,41.73157167,
525,MEWMA,15,0.6,100,29.78961936,
526,MEWMA,15,0.6,200,32.71,
527,MEWMA,15,0.6,500,36.51350777,
528,MEWMA,15,0.6,1000,39.21364125,
529,MEWMA,15,0.6,2000,41.86495264,
530,MEWMA,15,0.7,100,29.8252103,
531,MEWMA,15,0.7,200,32.75,
532,MEWMA,15,0.7,500,36.55713203,
533,MEWMA,15,0.7,1000,39.26049148,
534,MEWMA,15,0.7,2000,41.9149705,
535,MEWMA,15,0.8,100,29.86080125,
536,MEWMA,15,0.8,200,32.79,
537,MEWMA,15,0.8,500,36.60075629,
