,Method,Dimension,Lambda,ARL,h,
2785,ssDMEWMA,25,0.7,100,44.39184302,
2786,ssDMEWMA,25,0.7,200,48.7451,
2787,ssDMEWMA,25,0.7,500,54.41163532,
2788,ssDMEWMA,25,0.7,1000,58.43531552,
2789,ssDMEWMA,25,0.7,2000,62.3862421,
2790,ssDMEWMA,25,0.8,100,44.44481658,
2791,ssDMEWMA,25,0.8,200,48.804636,
2792,ssDMEWMA,25,0.8,500,54.47656567,
2793,ssDMEWMA,25,0.8,1000,58.5050474,
2794,ssDMEWMA,25,0.8,2000,62.46068869,
2795,ssDMEWMA,25,0.9,100,44.48013228,
2796,ssDMEWMA,25,0.9,200,48.864172,
2797,ssDMEWMA,25,0.9,500,54.51985257,
2798,ssDMEWMA,25,0.9,1000,58.55153532,
2799,ssDMEWMA,25,0.9,2000,62.51031975,
2800,ssDMEWMA,25,0.95,100,44.49779013,
2801,ssDMEWMA,25,0.95,200,48.89394,
2802,ssDMEWMA,25,0.95,500,54.54149602,
2803,ssDMEWMA,25,0.95,1000,58.57477928,
2804,ssDMEWMA,25,0.95,2000,62.53513528,
2805,ssDMEWMA,50,0.05,100,48.209276,
2806,ssDMEWMA,50,0.05,200,52.5301012,
2807,ssDMEWMA,50,0.05,500,58.0937404,
2808,ssDMEWMA,50,0.05,1000,62.1020016,
2809,ssDMEWMA,50,0.05,2000,65.9316548,
2810,ssDMEWMA,50,0.1,100,51.1682152,
2811,ssDMEWMA,50,0.1,200,55.420574,
2812,ssDMEWMA,50,0.1,500,60.7356504,
2813,ssDMEWMA,50,0.1,1000,64.537024,
2814,ssDMEWMA,50,0.1,2000,68.1359752,
2815,ssDMEWMA,50,0.2,100,53.6077028,
2816,ssDMEWMA,50,0.2,200,57.6412668,
2817,ssDMEWMA,50,0.2,500,62.6408024,
2818,ssDMEWMA,50,0.2,1000,66.2084972,
2819,ssDMEWMA,50,0.2,2000,69.634794,
2820,ssDMEWMA,50,0.3,100,53.03783427,
2821,ssDMEWMA,50,0.3,200,58.45214712,
2822,ssDMEWMA,50,0.3,500,65.00913457,
2823,ssDMEWMA,50,0.3,1000,69.81648811,
2824,ssDMEWMA,50,0.3,2000,74.53691814,
2825,ssDMEWMA,50,0.4,100,53.61948396,
2826,ssDMEWMA,50,0.4,200,58.97874304,
2827,ssDMEWMA,50,0.4,500,65.72206984,
2828,ssDMEWMA,50,0.4,1000,70.58214416,
2829,ssDMEWMA,50,0.4,2000,75.3543417,
2830,ssDMEWMA,50,0.5,100,53.92108009,
2831,ssDMEWMA,50,0.5,200,59.25112024,
2832,ssDMEWMA,50,0.5,500,66.09173998,
2833,ssDMEWMA,50,0.5,1000,70.979151,
2834,ssDMEWMA,50,0.5,2000,75.77819095,
2835,ssDMEWMA,50,0.6,100,54.09342074,
2836,ssDMEWMA,50,0.6,200,59.39638808,
2837,ssDMEWMA,50,0.6,500,66.30298006,
2838,ssDMEWMA,50,0.6,1000,71.20601205,
2839,ssDMEWMA,50,0.6,2000,76.02039052,
2840,ssDMEWMA,50,0.7,100,54.15804848,
2841,ssDMEWMA,50,0.7,200,59.469022,
2842,ssDMEWMA,50,0.7,500,66.38219509,
2843,ssDMEWMA,50,0.7,1000,71.29108494,
2844,ssDMEWMA,50,0.7,2000,76.11121536,
2845,ssDMEWMA,50,0.8,100,54.22267622,
2846,ssDMEWMA,50,0.8,200,59.54165592,
2847,ssDMEWMA,50,0.8,500,66.46141012,
2848,ssDMEWMA,50,0.8,1000,71.37615783,
2849,ssDMEWMA,50,0.8,2000,76.2020402,
2850,ssDMEWMA,50,0.9,100,54.26576138,
2851,ssDMEWMA,50,0.9,200,59.61428984,
2852,ssDMEWMA,50,0.9,500,66.51422014,
2853,ssDMEWMA,50,0.9,1000,71.43287309,
2854,ssDMEWMA,50,0.9,2000,76.26259009,
2855,ssDMEWMA,50,0.95,100,54.28730396,
2856,ssDMEWMA,50,0.95,200,59.6506068,
2857,ssDMEWMA,50,0.95,500,66.54062515,
2858,ssDMEWMA,50,0.95,1000,71.46123073,
2859,ssDMEWMA,50,0.95,2000,76.29286504,
