Method,Dimension,Lambda,ARL,h
MEWMA,10,0.6,1000,30.16433943
MEWMA,10,0.6,2000,32.20380972
MEWMA,10,0.7,100,22.94246946
MEWMA,10,0.7,200,25.14
MEWMA,10,0.7,500,28.12087079
MEWMA,10,0.7,1000,30.20037806
MEWMA,10,0.7,2000,32.242285
MEWMA,10,0.8,100,22.96984711
MEWMA,10,0.8,200,25.17
MEWMA,10,0.8,500,28.15442792
MEWMA,10,0.8,1000,30.2364167
MEWMA,10,0.8,2000,32.28076028
MEWMA,10,0.9,100,22.98809888
MEWMA,10,0.9,200,25.19
MEWMA,10,0.9,500,28.17679934
MEWMA,10,0.9,1000,30.26044246
MEWMA,10,0.9,2000,32.30641047
MEWMA,10,0.95,100,22.99722476
MEWMA,10,0.95,200,25.2
MEWMA,10,0.95,500,28.18798504
MEWMA,10,0.95,1000,30.27245534
MEWMA,10,0.95,2000,32.31923556
MEWMA,15,0.05,100,25.844
MEWMA,15,0.05,200,27.82
MEWMA,15,0.05,500,31.887
MEWMA,15,0.05,1000,34.351
MEWMA,15,0.05,2000,36.72
MEWMA,15,0.1,100,27.653
MEWMA,15,0.1,200,30.03
MEWMA,15,0.1,500,33.518
MEWMA,15,0.1,1000,35.86
MEWMA,15,0.1,2000,38.109
MEWMA,15,0.2,100,29.161
MEWMA,15,0.2,200,31.59
MEWMA,15,0.2,500,34.693
MEWMA,15,0.2,1000,36.911
MEWMA,15,0.2,2000,39.047
MEWMA,15,0.3,100,29.20830062
MEWMA,15,0.3,200,32.19
MEWMA,15,0.3,500,35.80097815
MEWMA,15,0.3,1000,38.44842086
MEWMA,15,0.3,2000,41.04799418
MEWMA,15,0.4,100,29.52861911
MEWMA,15,0.4,200,32.48
MEWMA,15,0.4,500,36.19359651
MEWMA,15,0.4,1000,38.87007291
MEWMA,15,0.4,2000,41.49815496
MEWMA,15,0.5,100,29.69471018
MEWMA,15,0.5,200,32.63
MEWMA,15,0.5,500,36.3971764
MEWMA,15,0.5,1000,39.08870731
MEWMA,15,0.5,2000,41.73157167
MEWMA,15,0.6,100,29.78961936
MEWMA,15,0.6,200,32.71
MEWMA,15,0.6,500,36.51350777
MEWMA,15,0.6,1000,39.21364125
MEWMA,15,0.6,2000,41.86495264
MEWMA,15,0.7,100,29.8252103
MEWMA,15,0.7,200,32.75
MEWMA,15,0.7,500,36.55713203
MEWMA,15,0.7,1000,39.26049148
MEWMA,15,0.7,2000,41.9149705
MEWMA,15,0.8,100,29.86080125
MEWMA,15,0.8,200,32.79
MEWMA,15,0.8,500,36.60075629
MEWMA,15,0.8,1000,39.30734171
MEWMA,15,0.8,2000,41.96498837
MEWMA,15,0.9,100,29.88452854
MEWMA,15,0.9,200,32.83
MEWMA,15,0.9,500,36.62983914
MEWMA,15,0.9,1000,39.3385752
MEWMA,15,0.9,2000,41.99833361
MEWMA,15,0.95,100,29.89639219
MEWMA,15,0.95,200,32.85
MEWMA,15,0.95,500,36.64438056
MEWMA,15,0.95,1000,39.35419194
MEWMA,15,0.95,2000,42.01500623
MEWMA,20,0.05,100,32.39
MEWMA,20,0.05,200,35.293
MEWMA,20,0.05,500,39.031
MEWMA,20,0.05,1000,41.724
MEWMA,20,0.05,2000,44.297
MEWMA,20,0.1,100,34.378
MEWMA,20,0.1,200,37.235
MEWMA,20,0.1,500,40.806
MEWMA,20,0.1,1000,43.36
MEWMA,20,0.1,2000,45.778
MEWMA,20,0.2,100,36.017
MEWMA,20,0.2,200,38.727
MEWMA,20,0.2,500,42.086
MEWMA,20,0.2,1000,44.483
MEWMA,20,0.2,2000,46.785
MEWMA,20,0.3,100,35.63412676
MEWMA,20,0.3,200,39.2718
MEWMA,20,0.3,500,43.67719334
MEWMA,20,0.3,1000,46.90707344
MEWMA,20,0.3,2000,50.0785529
MEWMA,20,0.4,100,36.02491532
MEWMA,20,0.4,200,39.6256
MEWMA,20,0.4,500,44.15618774
MEWMA,20,0.4,1000,47.42148895
MEWMA,20,0.4,2000,50.62774906
MEWMA,20,0.5,100,36.22754642
MEWMA,20,0.5,200,39.8086
MEWMA,20,0.5,500,44.40455521
MEWMA,20,0.5,1000,47.68822292
MEWMA,20,0.5,2000,50.91251743
MEWMA,20,0.6,100,36.34333562
MEWMA,20,0.6,200,39.9062
MEWMA,20,0.6,500,44.54647948
MEWMA,20,0.6,1000,47.84064233
MEWMA,20,0.6,2000,51.07524222
MEWMA,20,0.7,100,36.38675657
MEWMA,20,0.7,200,39.955
